Text1,Text2,Hint
The person is experiencing or expressing happiness,I love the sunshine and the happiness it brings,1
The person is experiencing or expressing anger,is downloading new fonts . again  http://plurk.com/p/rplkr,5
The person is experiencing or expressing sadness,I was crying all of Tuesday cos I find out! ,10
The person is experiencing or expressing anger,So what's so great bout your so called 'wonderful love life'?  For god sake W-A-T-E-V-A!,15
The person is experiencing or expressing happiness,finally having my cup of coffee!!!,20
The person is experiencing or expressing sadness,Sigh. I'm getting off the computer now to do even MORE homework... Bye,25
The person is experiencing or expressing happiness,nothings better then going out for chinese at the supperinn with ma fave cousins at 1am,30
The person is experiencing or expressing happiness,Woop have just bought the Elliot Minor album on itunes. Its finally working for me!!,35
The person is experiencing or expressing surprise,Got back from helping my sis with stuff for my niece's 1st birthday. I saw a PSP/DS lite car charger in Toy Kingdom SM for only P250!!,40
The person is experiencing or expressing anger,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.,45
The person is experiencing or expressing sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,50
The person is experiencing or expressing surprise,endless streams of tea~~~~... it's a holiday day here... how do I know? it's raining,55
The person is experiencing or expressing sadness,Morning all - woken by neighbour's kids screaming in the garden before 8am so not in a very benevolent mood...  you have been warned!,60
The person is experiencing or expressing anger,Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww,65
The person is experiencing or expressing surprise,Just getting an additional free day,70
The person is experiencing or expressing anger,finally getting sleepy right when the sky brightens ... figures! G'nimorning,75
The person is experiencing or expressing surprise,today is maintenance day for me my flat and my blog...yeahhhh a lot of little works,80
The person is experiencing or expressing happiness,i won because im awesome,85
The person is experiencing or expressing surprise,please ignore cheesey music,3
The person is experiencing or expressing sadness,in school wants to read Eclipse - 200-and-some-60 pages read,100
